順位,選手,クラブ,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
19,"イ ヒョンジュン
#5SG/SF",長崎,114,79,194,11.6%,28.8%,73.5%,74.9%,30.0%,33.8%,58.4%,66.2%,2.5,18.6%,18.0%,15.0%,25.4%,20.0%,18.0%,15.0%,12.7%,15.6%,14.7%,10.8%,8.4,11.9,19.1%,5.0%,10.6%,13.4%
順位,選手,クラブ,得点,,,,,シュート,,2Pt,,3Pt,,アシスト,チーム内比率,,,,,,,,,,,,,,,,
,,,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
21,"ジョン・ムーニー
#33C/PF",千葉J,110,30,284,20.0%,70.8%,62.0%,66.4%,76.3%,95.0%,3.7%,5.0%,2.9,12.5%,13.7%,10.2%,1.3%,1.2%,13.7%,10.2%,19.2%,20.1%,19.8%,11.5%,6.9,10.2,9.1%,8.6%,6.5%,12.4%
22,"デイビッド・ヌワバ
#2SG/SF",三遠,106,185,414,24.1%,59.3%,57.4%,61.4%,59.6%,73.4%,16.3%,26.6%,1.7,21.5%,21.6%,18.4%,10.1%,11.1%,21.6%,18.4%,13.7%,20.5%,18.1%,17.4%,16.1,22.5,36.2%,8.7%,8.6%,26.3%
22,"トレイ・ポーター
#22C/PF",A千葉,106,72,276,18.8%,69.0%,61.6%,63.8%,73.0%,89.0%,8.3%,11.0%,0.8,13.0%,13.7%,10.5%,3.5%,3.2%,13.7%,10.5%,17.2%,18.7%,18.2%,4.9%,8.4,8.9,29.1%,8.9%,10.2%,15.5%
24,"ライアン・ルーサー
#11C/PF",大阪,104,115,298,12.8%,53.1%,54.9%,57.8%,57.8%,64.0%,29.4%,36.0%,1.5,18.1%,19.2%,17.4%,16.0%,14.6%,19.2%,17.4%,14.7%,17.8%,16.7%,12.2%,13.1,10.2,22.7%,19.3%,10.4%,12.0%
25,"キアヌ・ピンダー
#25C/PF",秋田,103,66,274,17.3%,46.4%,48.6%,52.2%,50.2%,63.5%,32.5%,36.5%,0.9,20.7%,20.2%,20.0%,20.7%,18.9%,20.2%,20.0%,14.2%,21.5%,19.1%,8.6%,14.6,20.8,34.4%,19.4%,11.3%,20.3%
26,"ドンテ・グランタム
#1PF",SR渋谷,101,102,270,17.3%,51.2%,54.8%,58.8%,56.5%,69.8%,26.2%,30.2%,1.7,17.8%,18.2%,15.6%,14.3%,12.0%,18.2%,15.6%,15.6%,20.0%,18.5%,15.0%,15.3,13.9,12.6%,15.3%,10.1%,14.8%
26,"ドウェイン・エバンス
#13SF/PF",広島,101,117,348,21.0%,56.1%,53.7%,56.9%,57.7%,69.3%,21.3%,30.7%,2.1,18.5%,18.8%,17.6%,10.6%,11.6%,18.8%,17.6%,14.0%,21.6%,19.1%,24.3%,19.0,16.1,29.0%,26.4%,7.4%,28.4%
