順位,選手,クラブ,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
77,"ロスコ・アレン
#25SF/PF",川崎,56,111,196,28.3%,42.1%,46.6%,53.2%,44.6%,60.1%,27.0%,39.9%,1.0,15.8%,13.2%,14.5%,11.7%,13.6%,13.2%,14.5%,10.9%,15.8%,14.4%,6.6%,9.8,10.4,14.6%,13.5%,6.3%,27.1%
順位,選手,クラブ,得点,,,,,シュート,,2Pt,,3Pt,,アシスト,チーム内比率,,,,,,,,,,,,,,,,
,,,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
81,"アンジェロ・カロイアロ
#32SF/PF",京都,54,92,160,27.4%,52.8%,65.9%,72.1%,56.8%,76.0%,15.8%,24.0%,2.0,10.9%,10.0%,6.7%,4.7%,3.6%,10.0%,6.7%,6.4%,7.1%,6.9%,8.4%,5.7,6.5,4.0%,4.1%,2.7%,11.3%
81,"エージェー・エドゥ
#15C/PF",群馬,54,32,184,24.2%,69.7%,52.9%,59.6%,75.8%,99.5%,0.0%,0.5%,1.5,8.2%,8.7%,7.7%,0.0%,0.1%,8.7%,7.7%,18.6%,17.2%,17.7%,7.4%,9.1,9.0,38.5%,20.2%,9.2%,7.9%
83,"渡邊 雄太
#1SF/PF",千葉J,53,83,178,19.0%,36.0%,49.9%,53.9%,45.3%,56.2%,35.8%,43.8%,1.3,15.4%,14.9%,15.8%,15.6%,16.3%,14.9%,15.8%,5.4%,13.3%,11.0%,9.1%,12.5,15.8,21.2%,7.5%,4.8%,17.3%
84,"今村 佳太
#30SG/SF",名古屋D,52,78,106,9.5%,27.2%,44.1%,46.2%,33.4%,38.6%,57.1%,61.4%,2.4,12.0%,11.7%,14.4%,20.0%,21.9%,11.7%,14.4%,6.2%,7.6%,7.1%,13.1%,9.6,9.3,7.4%,6.0%,9.3%,7.4%
84,"セルジオ・エル ダーウィッチ
#9SG",仙台,52,52,214,10.7%,57.2%,49.4%,51.2%,62.0%,68.0%,27.3%,32.0%,2.3,12.0%,13.3%,13.2%,8.7%,9.3%,13.3%,13.2%,8.0%,15.3%,12.9%,24.4%,16.6,17.5,9.0%,16.0%,11.3%,14.5%
84,"安藤 誓哉
#3PG",横浜BC,52,66,148,12.8%,26.6%,52.5%,55.9%,38.1%,42.4%,49.1%,57.6%,1.7,18.2%,17.3%,18.5%,27.2%,26.7%,17.3%,18.5%,2.9%,7.2%,5.8%,15.7%,15.2,8.6,0.0%,14.9%,5.7%,13.7%
87,"ジャレル・ブラントリー
#7PF",長崎,51,78,296,12.9%,48.8%,50.5%,53.3%,50.5%,56.2%,36.6%,43.8%,2.2,16.7%,17.7%,19.3%,14.3%,17.1%,17.7%,19.3%,11.5%,16.0%,14.7%,20.2%,17.3,17.7,27.7%,22.0%,13.4%,16.9%
88,"岸本 隆一
#14PG/SG",琉球,50,40,100,15.8%,23.9%,45.8%,50.1%,29.7%,35.9%,54.5%,64.1%,2.2,13.1%,12.0%,14.5%,21.7%,22.1%,12.0%,14.5%,2.7%,5.8%,4.6%,16.3%,12.4,14.9,1.7%,10.0%,10.1%,16.3%
89,"杉本 天昇
#10SG",FE名古屋,49,50,74,8.1%,27.1%,52.7%,53.9%,38.1%,39.9%,53.8%,60.1%,2.5,8.7%,8.8%,9.1%,13.8%,13.3%,8.8%,9.1%,6.9%,4.9%,5.6%,4.3%,2.5,7.0,1.9%,8.3%,5.6%,5.1%
89,"金丸 晃輔
#14SF",佐賀,49,46,60,11.1%,19.0%,61.4%,64.1%,22.2%,35.1%,66.7%,64.9%,1.5,9.9%,9.3%,8.9%,18.6%,12.3%,9.3%,8.9%,3.6%,3.4%,3.4%,3.1%,4.1,4.3,5.9%,3.9%,4.0%,5.5%
89,"西田 優大
#19SG/SF",三河,49,70,258,12.6%,60.3%,52.2%,55.0%,60.7%,64.2%,26.6%,35.8%,2.7,13.1%,14.3%,14.2%,9.1%,10.4%,14.3%,14.2%,9.2%,5.1%,6.3%,15.7%,11.2,11.8,9.6%,29.1%,11.1%,10.7%
92,"トーマス・ケネディ
#1SF/PF",三河,48,52,120,11.4%,39.0%,59.6%,62.3%,46.8%,47.6%,41.9%,52.4%,0.9,9.4%,9.8%,9.1%,10.3%,9.7%,9.8%,9.1%,5.6%,6.8%,6.4%,2.0%,4.3,6.3,6.4%,7.8%,10.3%,5.5%
92,"ヨハネス・ティーマン
#32PF",群馬,48,25,116,18.3%,66.3%,60.6%,63.9%,69.7%,79.7%,12.0%,20.3%,2.1,5.4%,5.9%,4.8%,1.7%,2.1%,5.9%,4.8%,7.6%,6.6%,6.9%,4.8%,4.4,4.7,5.8%,10.7%,3.3%,5.1%
94,"フランシス・ロペス
#20SF",FE名古屋,47,68,180,17.1%,71.7%,51.0%,53.4%,78.1%,88.2%,4.8%,11.8%,0.7,8.0%,8.9%,7.8%,1.1%,2.2%,8.9%,7.8%,9.1%,9.6%,9.4%,3.1%,6.9,8.1,24.3%,7.1%,12.0%,9.8%
94,"ジェレミー・ジョーンズ
#22SF",FE名古屋,47,56,100,15.2%,30.3%,54.1%,57.4%,30.3%,38.6%,54.5%,61.4%,1.8,10.5%,9.6%,10.0%,16.9%,14.8%,9.6%,10.0%,7.8%,13.1%,11.5%,10.7%,8.6,19.0,6.8%,13.1%,10.1%,9.6%
94,"アンドリュー・ランダル
#7SF",SR渋谷,47,53,86,39.6%,28.9%,39.5%,0.0%,45.7%,64.2%,14.7%,35.8%,2.5,5.4%,3.9%,4.7%,3.1%,4.7%,3.9%,4.7%,5.7%,5.1%,5.3%,6.1%,4.4,6.5,1.7%,2.8%,3.2%,9.9%
97,"前田 悟
#13SG",京都,46,29,84,13.5%,24.6%,47.4%,50.3%,35.7%,41.0%,50.9%,59.0%,1.2,12.3%,11.6%,12.5%,16.9%,16.4%,11.6%,12.5%,3.3%,4.7%,4.2%,7.5%,8.2,12.2,2.0%,9.3%,10.9%,9.0%
97,"馬場 雄大
#18SG/SF",長崎,46,140,192,16.0%,39.5%,60.4%,63.8%,43.2%,51.2%,40.7%,48.8%,2.1,13.4%,13.3%,12.5%,12.8%,12.3%,13.3%,12.5%,13.1%,10.5%,11.3%,13.5%,12.1,16.6,17.0%,10.0%,11.3%,14.3%
99,"三谷 桂司朗
#34SF",広島,45,55,82,9.7%,26.6%,52.5%,54.2%,27.9%,30.9%,62.3%,69.1%,1.0,9.2%,9.0%,10.2%,15.5%,15.1%,9.0%,10.2%,9.3%,6.2%,7.2%,3.5%,5.8,13.4,18.0%,12.1%,12.5%,5.2%
100,"メイヨ ニック
#24C/PF",広島,44,51,102,11.0%,30.3%,57.5%,59.4%,35.6%,46.4%,53.4%,53.6%,2.9,10.1%,10.1%,10.1%,14.5%,11.6%,10.1%,10.1%,6.1%,13.4%,11.0%,10.9%,6.1,10.3,13.0%,9.9%,4.9%,5.7%
順位,選手,クラブ,得点,,,,,シュート,,2Pt,,3Pt,,アシスト,チーム内比率,,,,,,,,,,,,,,,,
,,,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
101,"ジョシュ・ハレルソン
#55C/PF",佐賀,43,10,74,4.6%,37.6%,48.0%,48.3%,40.6%,34.2%,54.8%,65.8%,2.4,6.2%,6.7%,7.7%,9.6%,10.8%,6.7%,7.7%,12.6%,13.9%,13.5%,6.0%,5.1,8.9,22.4%,2.6%,4.1%,2.9%
102,"吉井 裕鷹
#10SF",三遠,42,62,112,15.5%,42.4%,51.6%,54.3%,44.7%,51.9%,39.8%,48.1%,2.2,8.1%,8.3%,8.6%,9.3%,9.4%,8.3%,8.6%,4.6%,5.8%,5.4%,4.6%,3.3,10.2,2.6%,10.9%,7.1%,5.8%
102,"小川 麻斗
#12PG",京都,42,69,102,12.7%,27.6%,41.9%,44.8%,40.1%,49.2%,47.2%,50.8%,1.3,13.2%,12.9%,15.3%,16.9%,17.3%,12.9%,15.3%,2.3%,7.0%,5.3%,14.2%,14.8,11.3,5.0%,7.2%,9.3%,13.1%
104,"宇都 直輝
#11PG",富山,41,89,232,21.1%,74.1%,45.9%,50.4%,76.0%,93.3%,2.9%,6.7%,1.7,9.8%,10.6%,10.2%,1.1%,2.0%,10.6%,10.2%,7.2%,6.0%,6.4%,18.7%,15.5,10.3,1.2%,20.8%,9.5%,15.1%
104,"河田 チリジ
#15C",三遠,41,4,104,25.5%,71.7%,47.4%,51.5%,74.5%,100.0%,0.0%,0.0%,0.5,4.5%,4.7%,4.5%,0.0%,0.0%,4.7%,4.5%,10.1%,7.6%,8.5%,2.4%,7.9,5.1,16.4%,9.8%,10.2%,6.0%
104,"細川 一輝
#29SG",群馬,41,22,30,1.1%,10.9%,55.1%,55.3%,18.2%,17.8%,80.7%,82.2%,1.9,8.5%,8.6%,10.0%,17.9%,17.5%,8.6%,10.0%,5.6%,6.2%,6.0%,5.3%,5.3,9.8,2.9%,2.4%,11.5%,1.2%
104,"松山 駿
#7PG/SG",越谷,41,39,94,13.1%,20.9%,59.3%,62.3%,28.1%,34.7%,58.8%,65.3%,1.4,15.7%,14.6%,13.7%,23.2%,19.7%,14.6%,13.7%,4.1%,4.9%,4.7%,10.1%,10.1,6.9,1.2%,9.2%,10.8%,17.6%
108,"中山 拓哉
#17PG/SG",秋田,40,43,74,16.9%,25.0%,41.6%,45.8%,32.4%,40.9%,50.7%,59.1%,2.2,10.4%,9.4%,11.8%,16.2%,18.1%,9.4%,11.8%,13.3%,10.5%,11.4%,17.4%,11.7,19.0,4.4%,9.3%,10.6%,10.7%
109,"比江島 慎
#6SG",宇都宮,39,54,130,18.2%,29.5%,53.1%,56.0%,35.5%,44.2%,46.4%,55.8%,2.4,13.3%,12.2%,13.1%,14.3%,14.0%,12.2%,13.1%,6.0%,6.9%,6.6%,21.5%,17.0,17.6,9.3%,16.1%,13.4%,20.9%
110,"チェイス・フィーラー
#60PF",A東京,38,20,126,18.4%,62.6%,54.8%,0.0%,66.3%,68.7%,15.3%,31.3%,2.7,3.7%,3.8%,3.4%,1.5%,2.0%,3.8%,3.4%,6.0%,4.9%,5.3%,4.1%,2.4,2.2,13.3%,2.7%,5.3%,3.0%
110,"安藤 周人
#9SG",A東京,38,52,62,12.8%,15.3%,57.7%,60.4%,16.8%,24.5%,70.4%,75.5%,1.5,12.9%,11.5%,12.2%,23.3%,20.5%,11.5%,12.2%,3.2%,8.9%,7.2%,6.6%,8.1,13.5,2.9%,6.8%,10.8%,8.6%
110,"富樫 勇樹
#2PG",千葉J,38,32,62,13.4%,15.6%,49.3%,52.8%,20.2%,30.4%,66.5%,69.6%,2.4,12.4%,11.1%,13.8%,23.3%,22.5%,11.1%,13.8%,1.7%,3.2%,2.8%,22.4%,16.2,10.2,0.0%,18.3%,7.6%,11.2%
110,"津屋 一球
#28SG",三遠,38,47,28,4.2%,9.8%,61.2%,60.6%,9.8%,11.2%,86.0%,88.8%,1.7,8.8%,8.4%,8.9%,21.7%,18.0%,8.4%,8.9%,4.8%,4.4%,4.6%,5.0%,4.5,4.4,0.9%,1.1%,9.6%,2.4%
110,"辻 直人
#9SG",群馬,38,22,32,9.2%,10.6%,54.1%,56.3%,14.5%,18.1%,76.2%,81.9%,3.8,9.4%,8.6%,10.3%,18.6%,17.9%,8.6%,10.3%,2.9%,4.5%,4.0%,10.8%,5.3,3.5,1.0%,3.6%,6.6%,6.3%
115,"レイナルド・ガルシア
#2PG",佐賀,37,82,150,30.4%,54.3%,58.9%,64.6%,58.7%,79.8%,10.9%,20.2%,2.8,8.7%,8.1%,6.4%,2.7%,2.8%,8.1%,6.4%,5.8%,8.7%,7.8%,7.9%,5.7,13.1,5.9%,6.5%,7.8%,16.1%
116,"市場 脩斗
#12PG/SG",北海道,36,30,54,27.2%,23.3%,47.5%,53.5%,30.2%,51.1%,42.7%,48.9%,1.2,6.8%,5.3%,6.7%,10.7%,10.0%,5.3%,6.7%,4.3%,4.4%,4.4%,6.4%,9.2,5.7,7.1%,6.7%,13.2%,11.0%
116,"田中 大貴
#13SG",SR渋谷,36,54,108,6.4%,32.7%,49.2%,50.9%,54.5%,59.2%,39.1%,40.8%,3.3,11.2%,12.4%,12.3%,13.4%,12.8%,12.4%,12.3%,3.4%,3.5%,3.5%,13.3%,7.1,16.9,3.4%,6.9%,10.4%,4.0%
118,"ジャメール・マクリーン
#1C/PF",秋田,35,26,108,35.6%,60.0%,52.8%,0.0%,64.4%,87.6%,0.0%,12.4%,1.3,5.3%,4.5%,3.6%,0.0%,1.0%,4.5%,3.6%,6.3%,6.4%,6.4%,4.6%,4.5,4.3,7.8%,4.7%,5.2%,12.6%
118,"竹内 公輔
#10C/PF",宇都宮,35,10,46,23.0%,52.9%,40.9%,46.3%,52.9%,59.8%,24.1%,40.2%,1.9,2.6%,2.5%,3.2%,1.5%,2.4%,2.5%,3.2%,7.6%,9.3%,8.7%,1.7%,1.7,2.4,7.0%,6.9%,4.1%,2.6%
118,"金近 廉
#12SF",千葉J,35,30,38,3.6%,22.6%,58.7%,59.0%,25.0%,28.3%,71.4%,71.7%,2.7,5.2%,5.3%,5.4%,10.6%,9.2%,5.3%,5.4%,1.1%,3.6%,2.9%,3.7%,2.4,5.1,5.3%,4.3%,6.5%,2.0%
順位,選手,クラブ,得点,,,,,シュート,,2Pt,,3Pt,,アシスト,チーム内比率,,,,,,,,,,,,,,,,
,,,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
121,"藤井 祐眞
#0PG/SG",群馬,34,30,16,22.6%,4.5%,49.5%,55.3%,9.6%,15.9%,67.8%,84.1%,2.1,11.0%,8.5%,11.2%,19.4%,20.1%,8.5%,11.2%,4.3%,4.6%,4.5%,12.3%,10.9,11.3,0.0%,6.0%,14.9%,18.5%
121,"アリ・メザー
#22PG",秋田,34,57,134,9.8%,62.3%,47.1%,49.4%,67.9%,74.3%,22.3%,25.7%,1.6,7.5%,8.5%,8.2%,5.2%,5.5%,8.5%,8.2%,3.5%,5.8%,5.0%,17.0%,15.7,8.6,0.0%,9.3%,5.3%,6.9%
123,"グラント・ジェレット
#34PF",宇都宮,33,14,66,8.1%,29.7%,54.3%,56.0%,35.1%,43.6%,56.8%,56.4%,1.9,6.7%,6.8%,7.3%,8.8%,7.8%,6.8%,7.3%,6.6%,7.6%,7.3%,4.1%,4.1,4.4,9.3%,2.3%,6.7%,4.1%
123,"湧川 颯斗
#14PG",三遠,33,43,100,19.3%,43.9%,48.9%,53.4%,43.9%,56.4%,36.8%,43.6%,1.4,7.0%,6.9%,7.5%,7.4%,7.4%,6.9%,7.5%,7.8%,6.5%,6.9%,9.8%,10.8,11.3,1.7%,14.1%,12.9%,8.8%
123,"岡田 侑大
#77PG/SG",島根,33,62,204,14.5%,36.0%,54.4%,57.8%,42.7%,49.1%,42.9%,50.9%,1.9,17.7%,17.3%,17.6%,23.1%,21.9%,17.3%,17.6%,2.2%,7.4%,6.0%,21.8%,20.0,12.5,10.4%,13.0%,11.2%,21.3%
123,"角田 太輝
#25SG",佐賀,33,46,104,14.0%,28.0%,42.2%,45.8%,35.0%,36.0%,50.9%,64.0%,2.4,11.7%,11.4%,14.8%,16.8%,20.2%,11.4%,14.8%,7.5%,8.4%,8.1%,24.6%,20.5,12.4,4.7%,11.7%,12.1%,12.3%
127,"荒谷 裕秀
#11SG/SF",仙台,32,26,88,5.6%,49.2%,51.2%,51.6%,52.5%,51.5%,41.9%,48.5%,1.1,5.7%,6.4%,6.4%,6.4%,6.9%,6.4%,6.4%,4.6%,4.2%,4.3%,6.5%,8.9,5.7,3.6%,2.0%,7.5%,3.7%
127,"アーロン・ホワイト
#30C/PF",三河,32,66,104,24.0%,37.8%,50.7%,55.3%,40.0%,51.9%,36.0%,48.1%,2.8,8.4%,7.5%,8.2%,7.9%,8.0%,7.5%,8.2%,12.9%,17.4%,16.1%,8.9%,6.2,10.9,19.1%,8.7%,7.9%,15.4%
127,"竹内 譲次
#15C/PF",大阪,32,25,68,30.2%,52.7%,44.1%,51.3%,55.8%,75.5%,14.0%,24.5%,1.2,4.2%,3.7%,4.0%,1.7%,2.3%,3.7%,4.0%,8.9%,8.6%,8.7%,4.7%,6.1,4.1,17.5%,7.9%,7.7%,8.0%
127,"中村 拓人
#6PG",群馬,32,59,206,12.0%,57.5%,48.0%,50.6%,63.7%,66.5%,24.3%,33.5%,1.9,11.1%,12.5%,13.3%,7.0%,9.5%,12.5%,13.3%,4.3%,4.9%,4.7%,14.0%,14.0,22.3,5.8%,20.2%,11.9%,8.8%
131,"須藤 昂矢
#30SG",横浜BC,31,12,54,13.3%,29.8%,51.0%,53.7%,38.7%,44.2%,48.1%,55.8%,2.0,5.9%,5.6%,6.2%,8.7%,8.6%,5.6%,6.2%,5.0%,2.6%,3.4%,5.5%,4.4,3.3,2.9%,9.2%,11.1%,6.6%
131,"船生 誠也
#7PG/SG",仙台,31,43,64,12.6%,38.3%,56.6%,59.3%,40.7%,42.6%,46.7%,57.4%,2.4,5.3%,5.3%,5.0%,6.7%,6.4%,5.3%,5.0%,3.4%,4.9%,4.4%,6.9%,4.6,12.1,0.0%,6.0%,11.0%,4.2%
131,"テレンス・ウッドベリー
#30SF/PF",群馬,31,40,120,7.8%,36.0%,57.9%,59.1%,57.1%,60.4%,35.1%,39.6%,1.0,10.3%,11.7%,10.7%,9.4%,9.1%,11.7%,10.7%,2.2%,10.8%,8.0%,6.2%,11.3,3.9,3.8%,10.7%,6.6%,6.5%
131,"阿部 諒
#13SG",佐賀,31,62,128,18.3%,37.2%,41.7%,46.1%,51.2%,58.2%,30.5%,41.8%,2.5,10.8%,10.9%,13.2%,9.3%,11.8%,10.9%,13.2%,4.8%,7.5%,6.7%,21.8%,17.7,20.9,8.2%,13.0%,12.5%,12.4%
135,"須田 侑太郎
#13SG/SF",三河,30,24,48,5.5%,26.2%,54.7%,56.3%,27.3%,26.6%,67.2%,73.4%,2.8,5.6%,5.6%,6.3%,9.8%,9.4%,5.6%,6.3%,6.3%,3.8%,4.5%,4.4%,3.1,6.3,4.3%,6.8%,8.2%,3.0%
135,"セクー・ドゥムブヤ
#45SF/PF",越谷,30,87,230,15.6%,55.3%,51.6%,54.9%,60.6%,66.8%,23.8%,33.2%,0.8,14.6%,15.4%,14.1%,8.7%,10.4%,15.4%,14.1%,5.8%,16.0%,13.4%,5.7%,10.1,9.6,9.9%,10.9%,4.1%,13.8%
135,"游 艾喆
#7PG",滋賀,30,49,142,5.8%,48.1%,50.7%,51.9%,55.6%,52.6%,38.6%,47.4%,3.1,9.4%,10.6%,10.8%,10.4%,11.3%,10.6%,10.8%,7.6%,7.8%,7.7%,31.5%,13.4,19.7,8.7%,6.4%,11.4%,5.8%
138,"長谷川 暢
#3PG",茨城,29,82,130,13.8%,33.3%,49.6%,52.6%,41.5%,53.1%,44.6%,46.9%,2.2,13.3%,12.8%,13.9%,19.0%,16.6%,12.8%,13.9%,3.1%,4.9%,4.4%,13.8%,9.4,18.7,1.1%,17.5%,10.8%,11.3%
139,"ザック・バランスキー
#10SF/PF",A東京,28,18,66,5.3%,34.7%,43.1%,44.1%,34.7%,31.6%,60.0%,68.4%,1.5,6.1%,6.3%,8.3%,9.3%,12.7%,6.3%,8.3%,4.8%,6.2%,5.8%,5.3%,6.8,11.2,6.7%,2.7%,11.2%,4.2%
139,"長谷川 比源
#34SF/PF",滋賀,28,35,80,4.9%,77.7%,44.5%,44.7%,83.5%,70.0%,11.7%,30.0%,0.7,3.3%,4.2%,4.3%,1.1%,2.9%,4.2%,4.3%,5.0%,4.3%,4.5%,1.8%,3.3,3.8,7.8%,9.2%,5.8%,2.6%
順位,選手,クラブ,得点,,,,,シュート,,2Pt,,3Pt,,アシスト,チーム内比率,,,,,,,,,,,,,,,,
,,,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
139,"中村 功平
#13PG/SG",茨城,28,30,36,8.9%,15.2%,46.0%,48.0%,22.8%,28.5%,68.4%,71.5%,2.9,8.1%,7.4%,9.7%,17.7%,17.5%,7.4%,9.7%,2.9%,3.4%,3.2%,8.8%,4.5,7.2,0.0%,6.8%,11.6%,7.1%
139,"並里 成
#3PG",FE名古屋,28,30,94,17.6%,30.7%,40.9%,45.3%,56.9%,67.5%,25.5%,32.5%,2.6,9.7%,9.8%,11.8%,7.3%,9.3%,9.8%,11.8%,2.7%,6.0%,5.0%,23.1%,13.1,8.4,1.0%,9.5%,8.5%,11.2%
139,"牧 隼利
#88PG/SG",大阪,28,18,40,4.6%,30.8%,57.9%,57.9%,40.0%,42.1%,55.4%,57.9%,1.4,4.2%,4.4%,4.2%,7.0%,5.7%,4.4%,4.2%,2.2%,2.3%,2.3%,5.1%,5.7,4.1,2.1%,2.1%,6.1%,2.3%
144,"トレイ・ジョーンズ
#4SF",群馬,27,32,82,15.9%,27.7%,58.7%,62.5%,40.5%,51.4%,43.6%,48.6%,2.5,9.2%,9.0%,8.6%,10.4%,8.9%,9.0%,8.6%,4.0%,7.5%,6.4%,11.0%,8.2,8.6,8.7%,1.2%,7.7%,9.0%
144,"澁田 怜音
#3PG",京都,27,33,80,7.1%,31.5%,45.7%,47.1%,43.3%,47.3%,49.6%,52.7%,2.0,9.1%,9.5%,10.3%,12.2%,12.1%,9.5%,10.3%,1.0%,2.6%,2.0%,10.6%,7.1,3.9,1.0%,6.2%,9.1%,8.7%
144,"古川 孝敏
#51SG/SF",京都,27,35,58,14.7%,25.1%,49.7%,53.5%,42.4%,51.0%,42.9%,49.0%,1.2,8.3%,8.0%,7.9%,9.6%,8.6%,8.0%,7.9%,2.3%,4.5%,3.7%,4.8%,5.2,3.0,0.0%,6.2%,4.7%,5.7%
144,"岡田 泰希
#6PG/SG",滋賀,27,33,40,7.4%,18.6%,50.3%,51.8%,21.4%,26.8%,71.2%,73.2%,2.1,6.9%,6.6%,7.8%,13.9%,12.6%,6.6%,7.8%,3.9%,3.1%,3.4%,5.0%,3.1,4.2,1.0%,4.6%,6.3%,3.5%
144,"篠山 竜青
#7PG",川崎,27,20,70,12.3%,22.7%,59.2%,62.0%,30.4%,39.3%,57.3%,60.7%,2.0,10.5%,9.6%,9.3%,16.4%,13.2%,9.6%,9.3%,2.9%,4.6%,4.1%,23.9%,17.9,11.9,1.2%,10.6%,13.6%,11.2%
144,"坂本 聖芽
#60PG/SG",大阪,27,49,72,10.6%,47.7%,46.6%,48.4%,51.7%,55.9%,37.7%,44.1%,2.2,4.9%,5.1%,5.7%,5.5%,5.9%,5.1%,5.7%,5.6%,4.3%,4.7%,11.5%,8.4,13.3,6.2%,6.4%,9.8%,4.3%
144,"飯尾 文哉
#22SG",島根,27,28,98,2.6%,42.8%,49.6%,49.7%,46.3%,50.2%,51.1%,49.8%,1.3,7.2%,7.9%,8.9%,11.1%,10.8%,7.9%,8.9%,4.5%,4.1%,4.2%,6.5%,8.5,5.9,3.9%,13.0%,10.9%,2.6%
151,"津山 尚大
#13PG/SG",川崎,26,48,84,7.8%,21.9%,47.1%,48.7%,27.2%,35.5%,65.0%,64.5%,1.6,13.0%,12.3%,15.2%,23.1%,23.0%,12.3%,15.2%,3.4%,2.5%,2.8%,8.8%,8.3,11.5,1.2%,13.5%,5.3%,8.7%
151,"アイザイア・マーフィー
#5PG/SG",名古屋D,26,49,58,10.4%,31.9%,47.9%,50.3%,35.2%,37.1%,54.4%,62.9%,2.1,5.6%,5.5%,6.1%,8.9%,9.6%,5.5%,6.1%,4.0%,5.2%,4.8%,4.0%,3.3,9.0,9.8%,4.0%,8.1%,3.6%
151,"杉本 慶
#11PG",A千葉,26,28,104,12.7%,42.4%,50.5%,53.4%,53.1%,60.8%,34.3%,39.2%,2.1,8.0%,8.1%,8.4%,9.0%,9.1%,8.1%,8.4%,4.5%,5.8%,5.4%,19.0%,12.5,15.0,3.6%,12.5%,12.6%,8.5%
151,"須藤 タイレル拓
#6PG/SG",FE名古屋,26,52,78,11.9%,38.8%,54.0%,56.4%,44.8%,49.4%,43.3%,50.6%,1.1,6.4%,6.4%,6.3%,8.2%,7.7%,6.4%,6.3%,6.1%,2.6%,3.7%,5.1%,6.7,6.6,4.9%,7.1%,9.2%,4.1%
155,"山口 颯斗
#17SG/SF",長崎,25,39,64,10.2%,26.2%,60.5%,62.1%,27.0%,36.5%,62.7%,63.5%,1.5,6.7%,6.5%,6.7%,9.9%,8.6%,6.5%,6.7%,5.9%,6.1%,6.0%,4.2%,5.2,8.0,4.3%,9.0%,10.1%,4.0%
155,"飯田 遼
#17SG/SF",川崎,25,36,14,5.5%,7.0%,54.3%,55.6%,9.0%,14.4%,85.5%,85.6%,2.4,6.8%,6.0%,7.0%,15.8%,14.2%,6.0%,7.0%,2.6%,3.8%,3.5%,4.4%,2.7,7.4,3.7%,4.8%,11.7%,3.1%
155,"小酒部 泰暉
#75SG",A東京,25,11,88,16.1%,35.3%,47.3%,51.0%,36.9%,43.9%,47.0%,56.1%,4.2,8.0%,7.5%,8.8%,9.6%,11.0%,7.5%,8.8%,1.6%,6.3%,4.9%,12.4%,5.4,11.2,1.9%,8.2%,11.1%,11.0%
155,"岡田 雄三
#3PG",富山,25,58,92,15.9%,36.7%,41.5%,44.7%,37.5%,43.7%,46.6%,56.3%,2.5,7.8%,7.5%,9.6%,14.1%,15.6%,7.5%,9.6%,4.4%,6.5%,5.8%,20.4%,11.1,14.4,3.6%,9.2%,13.1%,8.8%
155,"小澤 飛悠
#4SF",名古屋D,25,42,42,11.4%,30.0%,43.4%,46.1%,32.9%,35.7%,55.7%,64.3%,1.8,4.3%,4.1%,5.2%,7.0%,8.2%,4.1%,5.2%,2.7%,1.5%,1.9%,1.9%,1.9,3.7,1.6%,9.0%,6.0%,2.3%
155,"キーファー・ラベナ
#15PG/SG",横浜BC,25,82,202,20.5%,43.6%,53.5%,58.8%,47.1%,58.4%,32.4%,41.6%,2.1,15.2%,13.9%,13.7%,15.0%,14.4%,13.9%,13.7%,3.8%,6.4%,5.6%,17.6%,13.5,13.9,5.7%,13.8%,11.7%,17.7%
順位,選手,クラブ,得点,,,,,シュート,,2Pt,,3Pt,,アシスト,チーム内比率,,,,,,,,,,,,,,,,
,,,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
