Rank,Player,Age,GP,MIN,ORTG,DRTG,NRTG,USG%,TS%,eFG%,,,,
179,"荒谷 裕秀
仙台 - SG/SF",27,37,539.3,111.19,108.93,2.26,18.65%,51.63%,51.21%,48.48%,11.52%,1.18,18.83%
180,"関野 剛平
北海道 - SG/SF",31,39,538.2,114.46,116.79,-2.34,11.78%,50.18%,48.57%,71.43%,14.29%,2.13,18.80%
181,"岡田 泰希
滋賀 - PG/SG",26,38,534.5,112.33,118.54,-6.21,19.76%,51.76%,50.25%,73.23%,11.11%,2.11,14.70%
182,"田代 直希
千葉J - SG/SF",32,38,528.8,119.49,101.08,18.41,8.21%,57.07%,55.22%,55.22%,16.42%,2.00,12.60%
183,"大倉 颯太
A東京 - PG/SG",27,32,522.8,111.97,110.06,1.90,17.22%,50.16%,48.43%,56.69%,18.90%,1.43,24.00%
184,"杉浦 佑成
仙台 - SF",30,37,522.8,114.87,108.22,6.65,13.73%,45.38%,43.18%,79.55%,13.64%,1.70,7.03%
185,"須藤 タイレル拓
FE名古屋 - PG/SG",25,34,522.5,109.54,109.49,0.05,19.26%,56.44%,53.96%,50.61%,19.51%,1.12,15.18%
186,"角野 亮伍
三河 - SG/SF",29,39,516.7,111.02,110.11,0.91,23.80%,55.74%,53.45%,60.59%,16.75%,1.08,10.15%
187,"加藤 嵩都
名古屋D - PG",26,39,514.2,112.40,96.16,16.24,17.30%,51.74%,47.90%,62.24%,23.08%,1.55,23.33%
188,"大庭 岳輝
越谷 - SG",28,38,512.8,101.83,106.37,-4.55,18.82%,48.65%,48.00%,69.71%,2.29%,1.07,6.86%
189,"赤穂 雷太
秋田 - SG/SF",27,24,510.1,102.62,117.52,-14.89,15.98%,46.50%,43.26%,62.41%,20.57%,1.63,10.74%
190,"ブランドン・アシュリー
A千葉 - C/PF",31,18,508.5,107.72,110.06,-2.34,23.43%,55.64%,50.00%,20.21%,35.64%,1.32,19.85%
191,"ヴォーディミル・ゲルン
大阪 - C/PF",32,26,506.0,110.73,107.14,3.59,21.19%,56.63%,54.91%,4.91%,47.24%,1.69,16.60%
192,"グラント・ジェレット
宇都宮 - PF",32,23,504.6,118.39,115.81,2.58,21.31%,56.03%,54.26%,56.38%,12.23%,1.89,12.96%
193,"菅原 佳依
越谷 - SF",23,36,503.0,98.27,108.04,-9.77,10.98%,43.62%,41.48%,72.73%,12.50%,1.47,12.24%
194,"瀬川 琉久
千葉J - PG",19,39,501.5,109.85,109.31,0.54,24.72%,47.20%,42.74%,25.70%,29.61%,1.33,28.53%
195,"岡田 大河
川崎 - PG",22,37,501.4,104.56,117.79,-13.23,22.23%,48.16%,45.39%,13.82%,16.45%,1.88,46.53%
196,"田中 晴瑛
富山 - PG",23,30,501.2,110.61,119.24,-8.63,12.19%,40.38%,35.45%,49.09%,20.91%,2.88,20.56%
197,"鎌田 裕也
越谷 - C/PF",36,39,500.5,98.93,116.59,-17.66,7.08%,53.96%,52.83%,56.60%,15.09%,1.54,8.78%
198,"ホール 百音 アレックス
京都 - SF",27,39,496.3,99.66,111.53,-11.87,19.37%,46.10%,44.23%,44.87%,19.23%,1.15,15.65%
199,"佐藤 涼成
広島 - PG",22,25,487.9,119.16,111.30,7.87,16.63%,52.24%,50.74%,67.41%,19.26%,2.39,27.82%
200,"ヤン ジェミン
茨城 - SF",26,39,486.3,102.23,111.01,-8.78,15.02%,46.05%,45.58%,51.33%,19.47%,1.00,10.38%
201,"渡辺 竜之佑
京都 - PG/SG",31,36,477.9,100.66,116.52,-15.87,9.67%,32.35%,30.00%,38.18%,21.82%,2.09,30.37%
202,"竹内 公輔
宇都宮 - C/PF",41,39,476.1,114.11,113.09,1.02,10.50%,46.34%,40.85%,40.24%,32.93%,1.88,5.73%
203,"菅原 暉
秋田 - PG",28,38,475.6,104.56,118.84,-14.28,18.05%,42.24%,38.81%,39.55%,15.67%,3.13,41.65%
204,"野﨑 零也
SR渋谷 - SG",30,35,470.4,101.91,121.84,-19.94,13.69%,51.27%,47.09%,50.49%,22.33%,1.94,14.76%
205,"金近 廉
千葉J - SF",23,28,469.2,113.33,105.88,7.44,16.18%,58.99%,58.70%,71.74%,7.25%,2.73,12.53%
206,"オマール・ジャマレディン
川崎 - SG/SF",25,29,464.4,98.39,110.99,-12.60,24.20%,37.87%,34.72%,37.22%,27.78%,1.34,23.02%
207,"水野 幹太
川崎 - PG/SG",27,36,462.9,102.13,116.87,-14.75,15.42%,36.89%,36.26%,31.87%,16.48%,1.30,25.62%
208,"脇 真大
琉球 - SG",24,27,459.6,111.69,102.97,8.72,18.61%,42.22%,37.19%,19.01%,39.67%,1.56,27.84%
209,"ヤンテ・メイテン
三遠 - PF",29,16,457.8,111.64,105.37,6.28,28.34%,58.59%,54.95%,16.67%,66.67%,1.34,18.50%
210,"チェハーレス・タプスコット
京都 - PF",35,25,456.8,97.40,110.84,-13.44,19.99%,44.62%,44.29%,28.57%,12.86%,1.60,30.88%
211,"レイナルド・ガルシア
佐賀 - PG",36,18,454.9,120.44,107.74,12.70,25.25%,64.61%,58.90%,20.25%,70.55%,2.62,27.24%
212,"トロイ・マーフィージュニア
SR渋谷 - SG/SF",23,29,454.1,104.31,113.63,-9.32,15.07%,38.63%,37.30%,55.74%,9.02%,1.73,11.36%
213,"アンジェロ・カロイアロ
京都 - SF/PF",36,17,452.3,109.74,117.81,-8.07,25.12%,72.10%,65.87%,23.95%,58.68%,1.97,29.38%
214,"伊藤 達哉
広島 - PG",31,28,451.3,115.69,105.52,10.17,14.51%,45.43%,44.15%,30.85%,20.21%,2.25,40.40%
215,"松崎 裕樹
横浜BC - SG/SF",25,39,448.1,107.34,117.26,-9.92,12.02%,42.83%,42.13%,50.56%,11.24%,1.20,8.29%
216,"牧 隼利
大阪 - PG/SG",28,24,445.7,108.12,108.63,-0.51,15.60%,58.41%,58.49%,58.49%,11.32%,1.41,17.56%
217,"平松 克樹
FE名古屋 - PG",24,39,441.2,100.56,114.37,-13.82,17.89%,44.97%,43.81%,49.56%,5.31%,1.47,32.64%
218,"中東 泰斗
名古屋D - SG",33,26,437.2,113.29,100.45,12.84,14.20%,51.85%,49.55%,51.79%,13.39%,2.76,19.84%
219,"江原 信太朗
滋賀 - SF",24,37,435.4,103.51,119.13,-15.62,10.77%,48.28%,47.80%,79.12%,5.49%,1.22,5.22%
220,"喜多川 修平
越谷 - SF",40,38,432.0,102.73,104.84,-2.11,13.53%,59.03%,55.43%,63.04%,21.74%,1.07,8.14%
221,"合田 怜
大阪 - PG/SG",32,39,428.1,106.83,110.80,-3.97,9.12%,39.00%,38.57%,70.00%,10.00%,2.25,8.02%
222,"土屋 アリスター時生
秋田 - PF",30,39,427.3,94.33,117.47,-23.14,12.64%,55.59%,54.44%,0.00%,6.67%,0.89,8.38%
223,"キャメロン・ジャクソン
三遠 - C/PF",30,21,427.1,116.52,118.03,-1.51,24.20%,57.33%,53.80%,6.96%,47.47%,1.89,23.52%
224,"アンドリュー・ランダル
SR渋谷 - SF",36,21,425.3,108.64,110.02,-1.38,19.27%,52.00%,39.50%,39.50%,64.71%,2.35,21.92%
225,"井上 諒汰
佐賀 - SF",31,30,421.3,113.85,109.79,4.05,11.97%,55.57%,54.65%,79.07%,8.14%,1.76,12.98%
226,"熊谷 尚也
A千葉 - SF",35,39,420.1,109.84,115.68,-5.84,16.04%,48.80%,48.74%,50.42%,1.68%,0.68,7.56%
227,"ダリアス・デイズ
三遠 - PF",26,19,417.8,120.75,115.17,5.58,24.05%,61.72%,58.15%,67.42%,23.03%,0.79,7.07%
228,"木田 貴明
A千葉 - SF",30,20,413.3,107.27,116.36,-9.09,19.69%,55.28%,53.10%,54.48%,15.17%,1.25,11.31%
229,"福澤 晃平
A東京 - PG/SG",33,38,410.4,105.53,108.71,-3.18,17.88%,54.15%,52.97%,71.19%,11.02%,1.33,14.60%
230,"デイミアン・ドットソン
琉球 - SG",32,20,409.7,116.67,112.40,4.27,24.80%,58.95%,54.78%,58.99%,18.54%,1.14,12.80%
231,"笹山 貴哉
FE名古屋 - PG",33,24,406.6,112.10,113.41,-1.31,23.36%,51.16%,50.31%,68.71%,9.82%,2.18,36.96%
232,"荒川 颯
琉球 - PG/SG",28,39,405.8,107.46,106.92,0.54,20.44%,46.03%,44.22%,78.91%,9.52%,1.90,20.68%
233,"介川 アンソニー翔
島根 - SF/PF",22,39,404.4,107.72,110.20,-2.49,15.16%,42.51%,37.64%,51.69%,46.07%,1.39,11.49%
234,"久岡 幸太郎
茨城 - PG",29,39,397.8,104.36,111.75,-7.40,12.57%,40.51%,39.47%,61.84%,23.68%,2.28,20.81%
235,"ジャメール・マクリーン
秋田 - C/PF",38,19,397.3,105.22,118.39,-13.17,18.41%,59.60%,53.41%,12.50%,97.73%,1.46,18.56%
236,"菊地 広人
北海道 - PG/SG",24,39,397.3,119.19,111.98,7.21,16.53%,53.30%,49.12%,71.05%,28.95%,2.50,14.98%
237,"長谷川 比源
滋賀 - SF/PF",21,39,389.3,106.64,115.69,-9.06,15.35%,44.67%,44.55%,30.00%,10.91%,0.79,7.97%
238,"シェーファー アヴィ幸樹
三河 - C",28,32,388.9,114.09,109.66,4.43,8.18%,50.95%,46.94%,10.20%,36.73%,1.29,4.50%
239,"アイラ・ブラウン
京都 - SF/PF",43,31,379.9,100.08,111.90,-11.82,14.57%,39.16%,36.21%,34.48%,19.54%,0.80,10.76%
240,"鵤 誠司
宇都宮 - PG",32,37,379.2,115.60,110.19,5.41,16.64%,46.33%,44.25%,57.47%,26.44%,2.09,34.02%
241,"晴山 ケビン
広島 - SF",33,33,373.4,119.62,117.04,2.58,12.66%,49.01%,46.84%,88.42%,9.47%,1.00,3.26%
242,"白濱 僚祐
島根 - SG/SF",34,28,373.3,107.04,107.68,-0.64,10.13%,41.07%,39.34%,39.34%,13.11%,1.36,9.46%
243,"小島 元基
茨城 - PG",32,30,372.1,107.18,114.53,-7.35,18.12%,54.41%,47.96%,48.98%,30.61%,2.83,36.90%
244,"上澤 俊喜
広島 - PG",27,38,365.8,112.68,117.98,-5.30,14.32%,52.03%,50.61%,82.93%,9.76%,1.67,22.15%
245,"長谷川 技
川崎 - SF",36,38,365.3,103.06,120.40,-17.34,6.83%,56.45%,52.86%,71.43%,14.29%,1.50,9.58%
246,"市岡 ショーン
滋賀 - C/PF",35,38,364.0,101.91,116.28,-14.37,6.53%,45.10%,44.44%,5.56%,66.67%,1.52,23.29%
247,"小川 敦也
宇都宮 - PG",23,21,361.3,116.81,114.49,2.32,19.56%,43.19%,39.55%,41.82%,19.09%,2.21,32.19%
248,"山内 ジャヘル琉人
川崎 - SG",23,23,360.8,105.11,116.39,-11.28,19.55%,47.18%,45.26%,47.41%,30.17%,1.47,11.85%
249,"崎濱 秀斗
琉球 - PG",21,38,356.8,111.83,105.12,6.71,13.02%,44.02%,38.97%,39.71%,30.88%,2.76,27.63%
250,"ヨハネス・ティーマン
群馬 - PF",32,17,354.0,119.92,109.67,10.26,21.89%,63.91%,60.59%,20.34%,36.44%,2.00,21.19%
251,"大崎 裕太
A千葉 - PG/SG",31,38,348.9,106.24,114.95,-8.71,17.73%,45.82%,44.66%,51.46%,3.88%,2.08,27.86%
252,"中村 浩陸
A東京 - PG/SG",28,19,347.4,112.89,107.27,5.62,17.17%,55.33%,48.80%,43.37%,32.53%,1.50,21.02%
253,"マシュー・アキノ
富山 - PF",29,39,345.4,100.47,126.05,-25.58,13.86%,42.65%,41.18%,82.35%,4.71%,0.50,5.48%
254,"藤永 佳昭
富山 - PG",34,38,342.3,102.71,123.65,-20.94,10.16%,32.28%,32.41%,66.67%,7.41%,2.14,28.88%
255,"小澤 飛悠
名古屋D - SF",21,37,340.8,109.71,96.55,13.16,20.91%,46.11%,43.36%,64.34%,13.99%,1.78,8.66%
256,"狩俣 昌也
長崎 - PG",38,39,332.7,117.63,103.37,14.26,10.43%,47.44%,47.33%,94.67%,2.67%,3.17,9.83%
257,"チェイス・フィーラー
A東京 - PF",33,16,325.4,115.07,107.51,7.56,16.13%,59.16%,54.76%,27.38%,35.71%,3.18,20.14%
258,"栗原 翼
秋田 - PG/SG",28,27,312.3,102.01,120.15,-18.13,20.58%,53.58%,50.58%,33.72%,26.74%,1.47,35.76%
259,"スティーブ・ザック
三遠 - C",33,11,307.2,110.07,110.09,-0.02,19.39%,51.85%,50.61%,6.10%,42.68%,1.03,19.88%
260,"井上 宗一郎
仙台 - PF",27,39,306.6,108.76,114.80,-6.04,13.71%,47.64%,43.33%,73.33%,24.00%,1.43,7.05%
261,"植松 義也
大阪 - SF/PF",27,37,306.6,102.21,114.75,-12.54,14.61%,43.36%,43.83%,54.32%,2.47%,0.90,5.60%
262,"タナー・ライスナー
秋田 - PF",30,13,306.2,103.17,116.64,-13.47,17.59%,57.31%,53.41%,35.23%,34.09%,1.40,9.63%
263,"児玉 ジュニア
三遠 - PG/SG",20,39,301.1,109.85,111.28,-1.43,22.88%,37.34%,34.02%,48.36%,17.21%,1.57,23.55%
264,"淺野 ケニー
群馬 - SF",23,39,275.9,121.65,109.84,11.81,14.81%,59.99%,58.33%,46.97%,16.67%,1.33,8.16%
265,"星野 京介
北海道 - SG",26,39,268.8,110.09,120.75,-10.67,13.12%,36.03%,33.96%,35.85%,22.64%,1.63,19.19%
266,"マイケル・オウ
千葉J - C",27,27,267.1,104.87,109.53,-4.65,13.20%,63.15%,63.16%,0.00%,31.58%,0.86,4.40%
267,"半澤 凌太
仙台 - SF",26,39,265.7,110.99,115.83,-4.85,8.75%,39.02%,38.57%,54.29%,5.71%,0.36,3.25%
268,"張本 天傑
名古屋D - SF/PF",34,39,265.4,100.98,94.67,6.31,13.82%,39.60%,35.83%,60.00%,16.67%,0.71,8.34%
269,"水戸 健史
富山 - SG",41,37,260.7,100.75,110.96,-10.20,9.43%,45.28%,37.50%,67.50%,42.50%,1.67,8.07%
270,"テーブス 海
A東京 - PG",27,11,254.7,120.38,106.14,14.24,24.46%,55.07%,53.43%,40.20%,21.57%,3.47,43.39%
271,"大塚 裕土
A千葉 - SG",38,36,252.8,108.16,110.43,-2.27,16.45%,57.35%,56.41%,88.46%,11.54%,1.00,6.65%
272,"田原 隆徳
滋賀 - PG",32,38,248.3,96.95,122.90,-25.95,17.70%,46.83%,43.59%,64.10%,15.38%,2.10,17.49%
273,"北川 弘
島根 - PG",34,35,244.1,112.99,111.02,1.98,14.18%,39.14%,37.72%,71.93%,7.02%,2.00,16.76%
274,"ロバーツ ケイン
広島 - PG/SG",23,36,238.6,110.76,118.63,-7.87,17.55%,51.34%,50.69%,54.17%,12.50%,0.88,11.89%
275,"寺嶋 良
広島 - PG",28,13,238.5,118.63,116.22,2.41,16.93%,42.01%,36.76%,38.24%,35.29%,2.73,25.49%
276,"渡邉 伶音
A千葉 - SF/PF",20,35,232.3,108.17,115.99,-7.82,17.11%,41.84%,37.31%,49.25%,40.30%,0.33,1.61%
277,"ジャワラ ジョゼフ
越谷 - PF",28,34,231.5,99.35,111.27,-11.92,17.53%,50.06%,46.43%,23.21%,32.14%,0.69,10.44%
278,"轟 琉維
佐賀 - PG",22,11,227.7,122.27,116.34,5.93,19.62%,58.96%,53.95%,59.21%,26.32%,4.43,24.81%
279,"山内 盛久
SR渋谷 - PG",36,39,224.7,111.90,113.89,-1.99,13.57%,37.10%,33.33%,60.00%,17.78%,2.07,27.37%
280,"ディディ・ロウザダ
SR渋谷 - SF",26,8,224.7,107.08,109.39,-2.31,26.67%,48.93%,47.52%,44.55%,11.88%,1.22,19.42%
281,"野本 建吾
川崎 - PF",34,33,224.5,101.96,113.19,-11.24,15.61%,55.48%,51.92%,30.77%,32.69%,1.50,15.59%
282,"星川 開聖
宇都宮 - SF",21,30,224.1,111.91,110.30,1.61,21.54%,53.19%,50.00%,46.84%,21.52%,0.90,7.30%
283,"四家 魁人
越谷 - PG",24,30,223.4,106.27,113.90,-7.63,14.61%,51.10%,46.88%,56.25%,22.92%,2.45,26.56%
284,"チェイス・フィーラー
佐賀 - PF",33,15,219.8,106.58,111.33,-4.75,19.18%,55.79%,51.52%,36.36%,22.73%,2.42,24.04%
285,"兪 龍海
横浜BC - SF",24,34,217.9,99.75,116.76,-17.01,13.86%,37.99%,36.00%,40.00%,18.00%,1.25,9.47%
286,"田口 成浩
秋田 - SG",36,12,210.6,110.15,116.85,-6.70,17.61%,53.07%,51.59%,74.60%,17.46%,0.90,9.01%
287,"狩野 富成
SR渋谷 - C",24,39,207.0,96.68,119.54,-22.85,14.06%,44.35%,41.86%,0.00%,34.88%,0.60,5.75%
288,"カイ・ソット
越谷 - C",24,9,204.2,107.23,117.37,-10.14,26.79%,47.91%,41.98%,6.17%,33.33%,1.57,23.68%
289,"松本 健児リオン
長崎 - SG",32,29,202.1,122.94,106.48,16.46,8.90%,64.68%,60.87%,8.70%,78.26%,1.67,8.52%
290,"石井 講祐
三河 - SG",38,39,200.2,113.98,119.00,-5.02,17.54%,49.97%,44.83%,86.21%,27.59%,3.83,22.33%
291,"オルフェミ・オルジョビ
A千葉 - PF",30,12,199.9,103.62,123.80,-20.19,27.16%,58.32%,52.35%,28.24%,31.76%,0.56,9.35%
292,"コー・フリッピン
群馬 - PG/SG",30,21,197.9,113.35,106.38,6.97,23.21%,41.67%,41.18%,8.82%,29.41%,1.95,36.96%
293,"谷口 光貴
横浜BC - SG/SF",33,38,193.7,116.33,113.88,2.45,23.43%,55.93%,55.26%,80.26%,2.63%,0.27,3.20%
294,"谷口 大智
群馬 - C/PF",36,39,190.0,115.00,103.86,11.14,15.51%,63.04%,62.24%,87.76%,8.16%,1.00,5.92%
295,"川真田 紘也
長崎 - C",27,35,187.4,109.40,114.11,-4.71,16.80%,70.80%,61.36%,0.00%,68.18%,0.08,0.92%
296,"アンドリュー・ランダル
琉球 - SF",36,8,185.6,121.04,108.31,12.73,21.30%,56.97%,47.37%,28.07%,73.68%,2.38,21.47%
297,"富山 仁貴
佐賀 - SF/PF",23,39,177.8,109.63,113.33,-3.70,17.83%,29.68%,22.12%,69.23%,23.08%,0.73,8.20%
298,"ケニー・ローソン・ジュニア
群馬 - C",37,10,177.5,115.63,110.93,4.70,16.94%,58.95%,55.10%,46.94%,24.49%,4.50,19.02%
299,"平岩 玄
A東京 - C",28,36,175.3,110.06,102.99,7.07,9.13%,44.43%,47.83%,4.35%,17.39%,0.75,6.41%
300,"岸田 篤生
佐賀 - PG",30,32,171.3,112.80,111.57,1.23,23.69%,65.12%,55.26%,52.63%,54.39%,1.54,21.28%
301,"葛原 大智
富山 - SG/SF",30,27,170.9,110.33,116.21,-5.88,9.43%,63.07%,60.87%,39.13%,78.26%,0.80,4.92%
302,"木林 優
北海道 - PF",24,33,170.3,119.90,119.34,0.56,14.35%,41.16%,37.18%,7.69%,20.51%,0.70,8.16%
303,"浅井 英矢
三遠 - SF",23,17,168.1,107.02,115.08,-8.07,10.03%,64.29%,64.29%,74.29%,0.00%,0.50,1.17%
304,"オルフェミ・オルジョビ
島根 - PF",30,8,160.3,103.45,106.87,-3.42,27.41%,53.15%,46.88%,46.88%,50.00%,0.91,11.59%
305,"渡部 琉
広島 - SF",25,12,160.0,111.56,112.16,-0.60,17.74%,57.77%,55.21%,70.83%,10.42%,1.38,13.93%
306,"星川 堅信
長崎 - SF",24,37,158.7,113.78,109.18,4.60,11.14%,52.95%,52.86%,74.29%,5.71%,3.00,13.02%
307,"横地 聖真
島根 - SF",24,14,152.4,113.96,111.66,2.30,10.56%,43.89%,43.75%,54.17%,20.83%,1.00,7.32%
308,"ジェフリー・パーマー
越谷 - PF",41,10,148.7,94.80,111.69,-16.89,21.87%,41.13%,34.44%,42.22%,24.44%,0.88,20.69%
309,"ジェフ・ギブス
千葉J - C/PF",45,9,148.3,110.55,113.87,-3.32,15.28%,59.67%,55.00%,16.67%,26.67%,1.00,15.85%
310,"マリアル・シャヨク
A千葉 - SG/SF",30,9,141.5,121.71,111.50,10.21,31.30%,67.96%,65.44%,47.06%,16.18%,0.65,14.53%
311,"ケヴェ・アルマ
琉球 - C/PF",27,7,139.6,115.49,106.15,9.34,26.88%,56.68%,52.50%,50.00%,30.00%,0.62,12.02%
312,"クエンティン・ミロラ・ブラウン
千葉J - C",25,9,137.2,106.27,113.47,-7.20,9.86%,55.38%,45.00%,5.00%,60.00%,2.50,14.29%
313,"佐々木 隆成
三遠 - PG/SG",30,8,131.4,118.83,103.24,15.59,23.41%,53.44%,52.54%,67.80%,3.39%,3.63,43.47%
314,"小野 龍猛
京都 - SF",38,35,123.1,101.91,124.39,-22.47,8.63%,39.28%,36.84%,78.95%,31.58%,3.50,11.62%
315,"盛實 海翔
北海道 - SG",28,36,122.0,113.84,121.84,-8.01,16.33%,42.33%,41.43%,60.00%,2.86%,2.00,26.02%
316,"森田 雄次
長崎 - PG",29,35,118.5,110.05,115.55,-5.51,17.91%,59.38%,57.14%,67.86%,39.29%,2.00,37.79%
317,"ラシード ファラーズ
京都 - SF/PF",28,21,118.2,105.39,128.09,-22.70,6.68%,69.65%,63.64%,0.00%,54.55%,0.75,5.19%
318,"西田 公陽
三河 - SG",24,37,116.8,112.75,112.72,0.04,13.00%,31.99%,28.95%,42.11%,15.79%,1.09,19.97%
319,"前野 幹太
横浜BC - SF/PF",23,39,115.6,112.47,120.69,-8.22,7.82%,43.10%,45.45%,18.18%,36.36%,0.60,5.36%
320,"伊久江 ロイ英輝
川崎 - SF/PF",21,31,113.5,102.44,121.75,-19.31,20.80%,51.92%,50.00%,8.57%,22.86%,0.33,3.42%
321,"小針 幸也
琉球 - PG",27,29,108.7,115.08,110.70,4.38,18.06%,43.86%,38.89%,55.56%,22.22%,1.00,21.23%
322,"岡本 飛竜
島根 - PG",33,26,100.7,105.77,117.02,-11.25,5.80%,15.18%,16.67%,66.67%,22.22%,2.50,9.23%
