順位,クラブ,試合数,得点・失点,,フィールドゴール,,,2Pt,,,3Pt,,,フリースロー,,,リバウンド,,,アシスト,ターンオーバー,スティール,ブロック,,ファウル,,貢献度,,得点・失点,,フィールドゴール,,,2Pt,,,3Pt,,,フリースロー,,,リバウンド,,,アシスト,ターンオーバー,スティール,ブロック,,ファウル,,貢献度,得点・失点,,フィールドゴール,,,2Pt,,,3Pt,,,フリースロー,,,リバウンド,,,アシスト,ターンオーバー,スティール,ブロック,,ファウル,,貢献度
,,G,PTS,OPPPTS,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF,,PTS,OPPPTS,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF,PTS,OPPPTS,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
11,"
島根スサノオマジック",39,3195,3140,1168,2533,46.1%,817,1495,54.6%,351,1038,33.8%,508,681,74.6%,404,1037,1441,845,481,272,77,92,755,767,3574,島根,81.9,80.5,29.9,64.9,46.1%,20.9,38.3,54.6%,9.0,26.6,33.8%,13.0,17.5,74.6%,10.4,26.6,36.9,21.7,12.3,7.0,2.0,2.4,19.4,19.7,91.6,11,13,7,15,6,5,10,8,16,19,13,11,13,10,24,9,15,7,13,12,25,10,13,11,11
12,"
琉球ゴールデンキングス",39,3180,2920,1147,2648,43.3%,797,1533,52.0%,350,1115,31.4%,536,697,76.9%,602,1038,1640,750,445,269,120,90,736,778,3617,琉球,81.5,74.9,29.4,67.9,43.3%,20.4,39.3,52.0%,9.0,28.6,31.4%,13.7,17.9,76.9%,15.4,26.6,42.1,19.2,11.4,6.9,3.1,2.3,18.9,19.9,92.7,12,2,12,3,21,7,7,19,17,12,22,7,7,5,1,8,2,24,3,14,3,8,10,8,9
13,"
佐賀バルーナーズ",39,3177,3187,1126,2554,44.1%,750,1355,55.4%,376,1199,31.4%,549,687,79.9%,413,955,1368,870,435,282,85,77,729,759,3584,佐賀,81.5,81.7,28.9,65.5,44.1%,19.2,34.7,55.4%,9.6,30.7,31.4%,14.1,17.6,79.9%,10.6,24.5,35.1,22.3,11.2,7.2,2.2,2.0,18.7,19.5,91.9,13,16,19,11,18,17,22,6,11,5,22,5,10,1,21,20,22,2,2,9,21,3,9,13,10
14,"
ファイティングイーグルス名古屋",39,3151,3228,1151,2603,44.2%,797,1526,52.2%,354,1077,32.9%,495,663,74.7%,475,1035,1510,767,521,273,103,84,758,726,3357,FE名古屋,80.8,82.8,29.5,66.7,44.2%,20.4,39.1,52.2%,9.1,27.6,32.9%,12.7,17.0,74.7%,12.2,26.5,38.7,19.7,13.4,7.0,2.6,2.2,19.4,18.6,86.1,14,19,8,6,16,7,8,18,15,17,17,15,16,9,13,10,8,20,19,11,10,4,14,19,15
15,"
滋賀レイクス",39,3136,3381,1127,2540,44.4%,761,1392,54.7%,366,1148,31.9%,516,730,70.7%,458,963,1421,762,575,289,103,109,846,776,3169,滋賀,80.4,86.7,28.9,65.1,44.4%,19.5,35.7,54.7%,9.4,29.4,31.9%,13.2,18.7,70.7%,11.7,24.7,36.4,19.5,14.7,7.4,2.6,2.8,21.7,19.9,81.3,15,25,18,13,15,14,17,7,13,8,19,9,5,17,15,18,19,21,25,8,10,21,23,9,22
16,"
アルバルク東京",39,3131,2996,1126,2506,44.9%,718,1380,52.0%,408,1126,36.2%,471,678,69.5%,433,1071,1504,845,459,223,105,73,831,790,3508,A東京,80.3,76.8,28.9,64.3,44.9%,18.4,35.4,52.0%,10.5,28.9,36.2%,12.1,17.4,69.5%,11.1,27.5,38.6,21.7,11.8,5.7,2.7,1.9,21.3,20.3,89.9,16,5,19,20,12,24,19,19,6,9,2,18,14,22,17,2,9,7,7,24,8,2,22,5,12
17,"
仙台89ERS",39,3124,3068,1131,2565,44.1%,742,1406,52.8%,389,1159,33.6%,473,645,73.3%,476,975,1451,726,459,315,111,100,695,711,3441,仙台,80.1,78.7,29.0,65.8,44.1%,19.0,36.1,52.8%,10.0,29.7,33.6%,12.1,16.5,73.3%,12.2,25.0,37.2,18.6,11.8,8.1,2.8,2.6,17.8,18.2,88.2,17,8,17,9,18,19,15,15,7,6,14,17,20,13,12,16,14,25,7,4,6,14,6,23,14
18,"
大阪エヴェッサ",39,3107,3185,1133,2564,44.2%,790,1470,53.7%,343,1094,31.4%,498,676,73.7%,496,938,1434,826,526,294,97,140,855,766,3274,大阪,79.7,81.7,29.1,65.7,44.2%,20.3,37.7,53.7%,8.8,28.1,31.4%,12.8,17.3,73.7%,12.7,24.1,36.8,21.2,13.5,7.5,2.5,3.6,21.9,19.6,83.9,18,15,16,10,16,9,12,11,18,14,22,13,15,12,10,23,16,9,20,5,15,26,24,12,18
19,"
アルティーリ千葉",39,3075,3259,1150,2517,45.7%,840,1603,52.4%,310,914,33.9%,465,660,70.5%,513,1046,1559,849,616,213,110,112,812,741,3315,A千葉,78.8,83.6,29.5,64.5,45.7%,21.5,41.1,52.4%,7.9,23.4,33.9%,11.9,16.9,70.5%,13.2,26.8,40.0,21.8,15.8,5.5,2.8,2.9,20.8,19.0,85.0,19,21,10,17,8,3,4,16,22,25,11,19,17,18,6,5,4,6,26,25,7,22,20,16,17
20,"
横浜ビー・コルセアーズ",39,3051,3192,1140,2503,45.5%,806,1507,53.5%,334,996,33.5%,437,576,75.9%,417,951,1368,769,481,245,70,87,792,695,3176,横浜BC,78.2,81.8,29.2,64.2,45.5%,20.7,38.6,53.5%,8.6,25.5,33.5%,11.2,14.8,75.9%,10.7,24.4,35.1,19.7,12.3,6.3,1.8,2.2,20.3,17.8,81.4,20,17,14,22,9,6,9,12,20,21,15,23,24,8,20,21,22,19,13,19,26,6,17,25,20
21,"
サンロッカーズ渋谷",39,2958,3139,1071,2544,42.1%,749,1545,48.5%,322,999,32.2%,494,632,78.2%,494,975,1469,791,450,231,119,72,683,717,3335,SR渋谷,75.8,80.5,27.5,65.2,42.1%,19.2,39.6,48.5%,8.3,25.6,32.2%,12.7,16.2,78.2%,12.7,25.0,37.7,20.3,11.5,5.9,3.1,1.8,17.5,18.4,85.5,21,12,23,12,24,18,5,25,21,20,18,16,22,3,11,16,12,16,4,22,4,1,3,21,16
22,"
川崎ブレイブサンダース",39,2955,3291,1102,2471,44.6%,742,1420,52.3%,360,1051,34.3%,391,559,69.9%,385,945,1330,821,553,270,82,104,815,678,2975,川崎,75.8,84.4,28.3,63.4,44.6%,19.0,36.4,52.3%,9.2,26.9,34.3%,10.0,14.3,69.9%,9.9,24.2,34.1,21.1,14.2,6.9,2.1,2.7,20.9,17.4,76.3,22,22,21,23,14,19,14,17,14,18,8,26,26,20,25,22,26,10,23,13,23,19,21,26,23
23,"
茨城ロボッツ",39,2934,3112,1088,2432,44.7%,783,1473,53.2%,305,959,31.8%,453,683,66.3%,413,1040,1453,792,531,235,89,103,706,743,3172,茨城,75.2,79.8,27.9,62.4,44.7%,20.1,37.8,53.2%,7.8,24.6,31.8%,11.6,17.5,66.3%,10.6,26.7,37.3,20.3,13.6,6.0,2.3,2.6,18.1,19.1,81.3,23,11,22,25,13,10,11,13,25,23,21,20,11,24,21,7,13,15,21,21,19,17,7,15,21
24,"
秋田ノーザンハピネッツ",39,2852,3303,1048,2507,41.8%,739,1539,48.0%,309,968,31.9%,447,634,70.5%,429,903,1332,758,515,279,90,129,754,713,2838,秋田,73.1,84.7,26.9,64.3,41.8%,18.9,39.5,48.0%,7.9,24.8,31.9%,11.5,16.3,70.5%,11.0,23.2,34.2,19.4,13.2,7.2,2.3,3.3,19.3,18.3,72.8,24,23,24,19,25,21,6,26,23,22,19,22,21,18,18,25,25,22,17,10,18,24,12,22,26
25,"
越谷アルファーズ",39,2851,3098,1033,2409,42.9%,653,1320,49.5%,380,1089,34.9%,405,560,72.3%,345,1001,1346,722,517,260,81,119,810,697,2851,越谷,73.1,79.4,26.5,61.8,42.9%,16.7,33.8,49.5%,9.7,27.9,34.9%,10.4,14.4,72.3%,8.8,25.7,34.5,18.5,13.3,6.7,2.1,3.1,20.8,17.9,73.1,25,10,25,26,23,26,23,23,8,15,7,24,25,15,26,14,24,26,18,15,24,23,19,24,24
26,"
京都ハンナリーズ",39,2788,3143,1022,2506,40.8%,679,1381,49.2%,343,1125,30.5%,401,622,64.5%,514,870,1384,772,574,337,101,97,745,724,2851,京都,71.5,80.6,26.2,64.3,40.8%,17.4,35.4,49.2%,8.8,28.8,30.5%,10.3,15.9,64.5%,13.2,22.3,35.5,19.8,14.7,8.6,2.6,2.5,19.1,18.6,73.1,26,14,26,20,26,25,18,24,18,10,25,25,23,26,4,26,21,17,24,3,12,13,11,20,24
,,39,3146.3,3146.3,1140.7,2552.8,44.7%,773.5,1458.7,53.0%,367.2,1094.1,33.6%,497.8,683.5,72.8%,468.2,998.2,1466.3,803.8,495.5,269.1,99.0,99.0,763.2,756.3,3437.8,,80.7,80.7,29.2,65.5,44.7%,19.8,37.4,53.0%,9.4,28.1,33.6%,12.8,17.5,72.8%,12.0,25.6,37.6,20.6,12.7,6.9,2.5,2.5,19.6,19.4,88.1,,,,,,,,,,,,,,,,,,,,,,,,,
