number	name_ja	name_en	height_cm
2	シャキール・ドアソン	Shaquille Doorson	213
3	ジェームズ・ベル	James Bell	196
5	石川 裕大	Yudai Ishikawa	176
6	佐藤 巧	Takumi Sato	195
7	中田 嵩基	Shuki Nakata	174
8	村上 慎也	Shinya Murakami	173
10	陳岡 燈生	Toi Jingaoka	185
11	白戸 大聖	Taisei Shirato	183
13	阿部 龍星	Ryusei Abe	183
15	村岡 遥斗	Haruto Muraoka	182
18	川畑 颯太郎	Sotaro Kawabata	180
24	広瀬 翔一	Shoichi Hirose	201
32	イ・ジョンヒョン	Jonghyun Lee	206
37	吉田 健太郎	Kentaro Yoshida	173
93	ノア・ウォーターマン	Noah Waterman	211
