number	name_ja	name_en	height_cm
2	大倉 颯太	Sota Okura	185
3	テーブス 海	Kai Toews	188
5	中村 浩陸	Hiromu Nakamura	177
9	安藤 周人	Shuto Ando	190
10	ザック・バランスキー	Zack Baranski	193
11	セバスチャン・サイズ	Sebastian Saiz	205
13	菊地 祥平	Shohei Kikuchi	191
17	マーカス・フォスター	Marcus Foster	191
21	平岩 玄	Gen Hiraiwa	200
22	ライアン・ロシター	Ryan Rossiter	206
25	福澤 晃平	Kohei Fukuzawa	177
60	チェイス・フィーラー	Chase Fieler	203
75	小酒部 泰暉	Taiki Osakabe	187
0	ブランドン・デイヴィス	Brandon Davies	208
