number	name_ja	name_en	height_cm
2	モサク ダミロラ	Damilola Mosaku	193
4	ライアン・ケリー	Ryan Kelly	211
10	ヒシグバータル・オーギル	Orgil Khishigbaatar	203
11	内藤 英真	Eishin Naito	182
12	西野 曜	Yo Nishino	199
13	川島 聖那	Sena Kawashima	187
15	坂口 大和	Yamato Sakaguchi	184
18	藤澤 尚之	Naoyuki Fujisawa	172
21	満田 丈太郎	Jotaro Mitsuda	188
22	小阪 彰久	Akihisa Kosaka	198
24	トビン マーカス海舟	Marcus KaishuTobin	198
25	ラポラス・アイヴァナーカス	Rapolas Ivanauskas	208
30	ペリー・エリス	Perry Ellis	202
73	田渡 修人	Shuto Tawatari	185
0	細谷 将司	Masashi Hosoya	173
