number	name_ja	name_en	height_cm
2	齋藤 拓実	Takumi Saito	172
3	加藤 嵩都	Taketo Kato	178
4	小澤 飛悠	Hiyuu Ozawa	190
5	アイザイア・マーフィー	Isaiah Murphy	196
7	今西 優斗	Yuto Imanishi	180
8	張本 天傑	Tenketsu Harimoto	198
11	アーロン・ヘンリー	Aaron Henry	198
12	中東 泰斗	Taito Nakahigashi	191
14	佐藤 卓磨	Takuma Sato	197
15	アラン・ウィリアムズ	Alan Williams	203
17	若野 瑛太	Eita Wakano	186
23	ジェイク幸輝・ホルツ	Jake kokiHoltz	194
27	春田 結斗	Yuito Haruta	166
30	今村 佳太	Keita Imamura	191
34	カイル・リチャードソン	Kyle Richardson	198
43	スコット・エサトン	Scott Eatherton	208
