number	name_ja	name_en	height_cm
6	比江島 慎	Makoto Hiejima	191
7	小川 敦也	Atsuya Ogawa	190
9	遠藤 祐亮	Yusuke Endo	186
10	竹内 公輔	Kosuke Takeuchi	206
11	青木 ブレイク	Blake Aoki	205
12	高島 紳司	Shinji Takashima	191
13	渡邉 裕規	Hironori Watanabe	180
17	星川 開聖	Kaisei Hoshikawa	194
18	鵤 誠司	Seiji Ikaruga	185
21	松本 秦	Shin Matsumoto	191
25	D.J・ニュービル	D.J.Newbill	193
33	ギャビン・エドワーズ	Gavin Edwards	206
34	グラント・ジェレット	Grant Jerrett	208
42	アイザック・フォトゥ	Isaac Fotu	203
0	田臥 勇太	Yuta Tabuse	173
