number	name_ja	name_en	height_cm
1	オマール・ジャマレディン	Omar Jamaleddine	194
2	伊久江 ロイ英輝	Roy HidekiIgwe	201
3	水野 幹太	Kanta Mizuno	185
5	エマニュエル・テリー	Emanuel Terry	206
7	篠山 竜青	Ryusei Shinoyama	178
10	野本 建吾	Kengo Nomoto	201
11	米須 玲音	Reoto Yonesu	177
13	津山 尚大	Shota Tsuyama	180
14	ドゥシャン・リスティッチ	Dušan Ristić	212
17	飯田 遼	Ryo Iida	185
25	ロスコ・アレン	Rosco Allen	208
33	長谷川 技	Takumi Hasegawa	190
45	山内 ジャヘル琉人	Jaheru RyutoYamauchi	190
55	岡田 大河	Taiga Okada	174
60	武藤 俊太朗	Shuntaro Buto	190
