number	name_ja	name_en	height_cm
1	小島 元基	Genki Kojima	181
3	長谷川 暢	Noboru Hasegawa	175
7	駒沢 颯	Hayate Komasawa	188
8	タイラー・クック	Tyler Cook	206
9	ヤン ジェミン	Jae-Min Yang	201
10	陳岡 流羽	Ru Jingaoka	188
12	赤間 賢人	Kento Akama	189
13	中村 功平	Kohei Nakamura	182
14	久岡 幸太郎	Kotaro Hisaoka	182
21	エリック・ジェイコブセン	Eric Jacobsen	208
25	平尾 充庸	Atsunobu Hirao	178
29	鶴巻 啓太	Keita Tsurumaki	190
92	村越 圭佑	Keisuke Murakoshi	195
0	ロバート・フランクス	Robert Franks	201
