number	name_ja	name_en	height_cm
2	藤永 佳昭	Yoshiaki Fujinaga	175
3	岡田 雄三	Yuzo Okada	181
6	ウィリアムス ニカ	Nyika Williams	203
7	宮本 一樹	Kazuki Miyamoto	196
8	トレイ・ケル	Trey Kell	193
9	水戸 健史	Takeshi Mito	185
11	宇都 直輝	Naoki Uto	191
12	ブロック・モータム	Brock Motum	208
13	マシュー・アキノ	Matthew Aquino	205
14	泉 登翔	Towa Izumi	190
17	田中 晴瑛	Haruaki Tanaka	178
21	鎌田 隼	Hayato Kamata	195
24	ヤニス・モラン	Yannis Morin	208
25	葛原 大智	Daichi Kuzuhara	189
28	野﨑 由之	Yoshiyuki Nozaki	183
