number	name_ja	name_en	height_cm
1	ラシャード・ケリー	Rashard Kelly	203
2	鍋田 憲伸	Kenshin Nabeta	182
3	ティム・ダルガー	Tim Dalger	201
7	ワン ウェイジャ	Weijia Wang	198
11	岡部 雅大	Masahiro Okabe	184
17	浅井 修伍	Shugo Asai	198
20	山田 哲汰	Tetta Yamada	188
22	マックス・ヒサタケ	Max Hisatake	203
24	鍵冨 太雅	Taiga Kagitomi	195
25	ミサカボ ベニ	Beni Misakabo	190
55	大髙 祐哉	Yuya Otaka	175
56	小室 昂大	Takahiro Komuro	190
75	神里 和	Nagomu Kamizato	170
91	寺嶋 恭之介	Kyonosuke Terashima	179
