number	name_ja	name_en	height_cm
1	ラウリー・アルキンズ	Rawle Alkins	196
2	田中 力	Chikara Tanaka	186
3	山本 翔太	Shota Yamamoto	188
5	磯野 寛晃	Hiroaki Isono	186
11	石川 海斗	Kaito Ishikawa	170
12	保坂 晃毅	Koki Hosaka	181
13	長島 蓮	Ren Nagashima	177
15	モッチ ラミン	Lamine Mbodj	202
16	西田 公陽	Koyo Nishida	184
17	澤邉 圭太	Keita Sawabe	185
31	山田 安斗夢	Atomu Yamada	181
44	ミッチェル・ライトフット	Mitchell Lightfoot	203
88	グレゴリー・エチェニケ	Gregory Echenique	208
