number	name_ja	name_en	height_cm
2	レイナルド・ガルシア	Reynaldo Garcia	187
5	山下 泰弘	Yasuhiro Yamashita	187
6	福永 健太	Kenta Fukunaga	176
7	橋本 晃佑	Kosuke Hashimoto	203
8	轟 琉維	Rui Todoroki	169
13	阿部 諒	Ryo Abe	184
14	金丸 晃輔	Kosuke Kanamaru	192
17	大石 空汰	Sorata Oishi	171
18	内尾 聡理	Sori Uchio	184
20	岸田 篤生	Atsuki Kishida	175
21	富山 仁貴	Toshiki Tomiyama	195
22	タナー・グローヴス	Tanner Groves	208
23	デイビッド・ダジンスキー	David Dudzinski	205
25	角田 太輝	Taiki Sumida	182
34	井上 諒汰	Ryota Inoue	185
55	ジョシュ・ハレルソン	Josh Harrellson	208
