number	name_ja	name_en	height_cm
1	コティ・クラーク	Coty Clarke	201
2	金山 颯	Hayate Kanayama	179
4	ニック・ケイ	Nick Kay	206
6	北川 弘	Hiromu Kitagawa	183
7	介川 アンソニー翔	Anthony ShoSukegawa	197
11	中村 太地	Taichi Nakamura	190
14	ジェームズ・マイケル・マカドゥ	James MichaelMcAdoo	206
15	白濱 僚祐	Ryosuke Shirahama	189
17	横地 聖真	Seishin Yokochi	192
20	上田 隼輔	Shunsuke Ueda	188
21	納見 悠仁	Yuto Nohmi	182
22	飯尾 文哉	Fumiya Iio	187
24	岡本 飛竜	Hiryu Okamoto	170
25	ダマ ムッサ	Muusa Dama	207
77	岡田 侑大	Yuta Okada	189
