number	name_ja	name_en	height_cm
2	岩下 准平	Junpei Iwashita	180
4	ライアン・クリーナー	Ryan Kriener	208
6	岡田 泰希	Taiki Okada	176
7	游 艾喆	Ai-Che Yu	180
13	坂井 レオ	Leo Sakai	195
14	西田 陽成	Yosei Nishida	185
15	梶原 悠真	Yuma Kajiwara	180
16	野本 大智	Daichi Nomoto	183
17	常田 耕平	Kohei Tsuneta	186
20	トーマス・ウィンブッシュ	Thomas Wimbush	201
21	田原 隆徳	Takanori Tahara	181
22	市岡 ショーン	Sean Ichioka	198
25	江原 信太朗	Shintaro Ehara	192
34	長谷川 比源	Higen Hasegawa	202
0	ザック・オーガスト	Zach Auguste	208
